"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"DIGIKEY";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"REFDES";"SF_ID";"SUPPLIER";"TP_SIGNAL_NAME";"TYPE";"VALUE";
"1";"";"CONN_01";"1X01";"J8";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_02";"1X02";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08288";"";"";"PRT-08235";"";"";"";"";
"1";"";"CONN_04SCREW";"SCREWTERMINAL-3.5MM-4";"J6";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2xCONN-08399";"";"";"2xPRT-08084";"";"";"";"";
"1";"";"CONN_04SMD2";"1X04_1MM_RA";"J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-10310";"";"";"PRT-10208";"";"";"";"";
"1";"";"CONN_06SMD-1MM";"1X06-1MM";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08249";"";"";"GPS-00579";"";"";"";"";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"POWER_IN";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"732-2711-2-ND";"";"";"";"";"";"";"";"";"";"";"CONN-11443";"";"";"PRT-08612";"";"";"";"";
"1";"";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"S2";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"401-1426-1-ND";"";"";"";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";"";"";"";"";
"1";"1.0 uH";"1277AS-H-1R0M=P2";"INDC3225X120N";"L4";"DFE 1,0uH 3,1A 20% Toko WWT";"";"";" Inductor with Inductance: 1uH Tol. +/-20%, Package: 1210 (3225) ";"490-10590-2-ND";"";"";"";"";"490-10590-2-ND";"";"Murata Electronics";"";"1277AS-H-1R0M=P2";"";"";"";"3225 Murata";"";"";"";"https://pricing.snapeda.com/search/part/1277AS-H-1R0M=P2/?ref=eda";"";"";"";"";"";"";
"1";"100K";"4R-NEXB38V";"EXB38V";"RN1";"Array Chip Resistor";"";"";"";"";"";"";"";"";"YC164J-100KCT-ND";"";"";"";"";"";"unknown";"unknown";"";"5";"";"";"";"";"";"";"";"";"";
