"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_ID";"SF_SKU";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"1";"";"CONN_03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"A98037-ND";"";"";"";"";"";"";"";"";"CONN-08288";"";"PRT-08235";"";"";"";"";
"1";"";"CONN_04SCREW";"SCREWTERMINAL-3.5MM-4";"J6";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"277-1860-ND";"";"";"";"";"";"";"";"";"2xCONN-08399";"";"2xPRT-08084";"";"";"";"";
"1";"";"CONN_04SMD2";"1X04_1MM_RA";"J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-10310";"";"PRT-10208";"";"";"";"";
"1";"";"CONN_06SMD-1MM";"1X06-1MM";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08249";"";"GPS-00579";"";"";"";"";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"POWER_IN";"JST 2MM MALE RA CONNECTOR";"";"";"";"A100080CT-ND";"";"";"";"";"";"";"";"";"CONN-11443";"";"PRT-08612";"";"";"";"";
"1";"";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"S2";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"401-1426-1-ND";"";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";"";"";"";
"1";"";"SWITCH-SPDT-PTH-11.6X4.0MM";"SWITCH_SPDT_PTH_11.6X4.0MM";"S4";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-08261";"";"";"COM-00102";"";"";"";
"1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"S3";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"563-1102-1-ND";"";"";"";"";"";"";"";"";"SWCH-10651";"";"";"COM-10860";"";"";"";
"1";"1.0 uH";"FDSD0630-H-1R0M=P3";"IND_FDSD0630-H-1R0M=P3";"L4";"2.2µH Shielded Wirewound Inductor 7.1A 17mOhm Max Nonstandard";"";" Inductor with Inductance: 1uH Tol. +/-20%, Package: 2726 (7066) ";"490-10878-1-ND";"490-10878-1-ND";"Murata";"FDSD0630-H-1R0M=P3";"";"";"";"NONSTANDARD ";"";"";"";"https://pricing.snapeda.com/search/part/FDSD0630-H-1R0M=P3/?ref=eda";"";"";"";"";"";
"1";"100K";"4R-NEXB38V";"EXB38V";"RN1";"Array Chip Resistor";"";"";"";"YC164J-100KTR-ND";"";"";"";"unknown";"unknown";"";"5";"";"";"";"";"";"";"";"";
"1";"10k";"RESISTOR0603-RES";"0603-RES";"R8";"Resistor";"";"";"";"P10KGCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1M";"750KOHM-0603-1/10W-1%";"0603@1";"R17";"750Ω resistor";"";"";"";"RMCF0603FT1M00";"";"";"";"";"";"";"";"";"RES-13768";"";"";"";"";"";"750K";
"2";"1k";"1KOHM-0603-1/10W-1%";"0603";"R5, R14";"1kΩ resistor";"";"";"";"RMCF0603FG1K00";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"";"1k";
"1";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"RPROG";"2kΩ resistor";"";"";"";"‎311-2.00KHRCT-ND‎ ";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"";"";"2.0k";
"2";"22";"RESISTOR0603-RES";"0603-RES";"R11, R15";"Resistor";"";"";"";"A103067TR-ND ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22pF";"22UF-0805-6.3V-20%";"0805";"C9, C17";"22µF ceramic capacitors";"";"";"";"399-C0805C220K5HAC7800CT-ND";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";
"8";"22uF";"22UF-0805-6.3V-20%";"0805";"C1, C3, C6, C11, C13, C15, C16, C20";"22µF ceramic capacitors";"";"";"";"490-10511-1-ND";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";
"2";"330";"RESISTOR0603-RES";"0603-RES";"R4, R6";"Resistor";"";"";"";"311-330HRTR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"D7, D8";"Schottky diode";"";"";"";"MBRA340T3GOSTR-ND";"";"";"";"";"";"";"";"";"DIO-09886";"";"";"";"";"";"3A/40V/500mV";
"4";"4.7uF";"4.7UF0603";"0603";"C10, C12, C18, C19";"4.7µF ceramic capacitors";"";"";"";"399-3482-1-ND";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"4.7uF";
"1";"74AHCT2G125";"VSSOP-8_DEVICE";"VSSOP-8";"U5";"Dual bidirectional I2C-bus and SMBus voltage-level translator";"";"";"";"1727-6544-1-ND‎";"";"";"PCA9306DC,125";"-";"70R6429";"VSSOP-8";"";"";"";"";"";"";"NXP";"";"";
"1";"BC840M";"BC840M";"BC840M";"U3";"";"";"";"";"1914-BC840MCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BLUE";"LED-BLUE0603";"LED-0603";"D2";"Blue SMD LED";"";"";"";"160-1647-1-ND";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"";"";"";"BLUE";
"1";"BSS84";"BSS84";"SOT23";"Q2";"P-CHANNEL MOS FET";"";"";"";"DMP2120U-7DITR-ND";"";"";"";"";"";"";"8";"";"";"";"";"";"";"";"";
"1";"CGRM4004-G";"CGRM4004-G";"SOD-123_MINI-SMA";"D10";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"SM5817PL-TPMSCT-ND‎";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";
"1";"CORTEX_DEBUG_SMD";"CORTEX_DEBUG_SMD";"SAMTECH_FTSH-105-01";"J7";"Cortex Debug Connector - 10 pin";"";"";"";"SAM1161-05-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FC-12M";"FC-12M";"FC-12M";"Y2";"kHz RANGE CRYSTAL UNIT";"";"";"";"2195-CM8V-T1A-32.768KHZ-12.5PF-20PPM-TA-QATR-ND";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"1";"Green";"LED0603";"LED-0603";"D3";"LEDs";"";"";"";"754-1116-2-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U2";"MCP73831T Li-Ion, Li-Pol Controller";"";"";"";"MCP73832T-2DFI/OTTR-ND";"";"";"";"";"";"";"";"";"IC-09995";"";"";"";"";"";"";
"1";"MIC5317 (MIC5205)";"V_REG_MIC52053.3V";"SOT23-5";"U4";"V_REG MIC5205 Standard 3.3V, 5V, and Adjustable 150mA LDO voltage regulator in SOT-23 layout. Micrel part MIC5205. BP (by-pass) pin is used to lower output noise with 470pF cap, may be left open. On the adjustable version BP is used to set output.";"";"";"";"MIC5317-3.3YM5-TR-ND";"";"";"";"";"";"";"";"";"VREG-00822";"";"";"";"";"";"3.3V/150mA";
"1";"RED";"LED-RED0603";"LED-0603";"D9";"Red SMD LED";"";"";"";"160-1436-1-ND";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"";"";"";"RED";
"1";"SPST-SMD-5.2MM";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST";"";"";"";"CKN12222-1-ND";"";"";"";"";"";"";"";"";"SWCH-08247";"";"";"COM-08720";"";"";"";
"1";"TPS61235P";"TPS61235PRWLR";"CONV_TPS61235PRWLR";"U8";"TPS6123x 8-A Valley Current Synchronous Boost Converters with Constant Current Output Feature 9-VQFN-HR -40 to 85";"";" 8-A Valley Current Synchronous Boost Converters with Constant Current Output Feature 9-VQFN-HR -40 to 85 ";"296-47376-1-ND";"296-47376-2-ND";"Texas Instruments";"TPS61235PRWLR";"";"";"";"VQFN-HR-9 Texas Instruments";"";"";"";"https://pricing.snapeda.com/search/part/TPS61235PRWLR/?ref=eda";"";"";"";"";"";
"5";"TPSB1,27";"TPSB1,27";"B1,27";"TP1, TP2, TP3, TP4, TP5";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";
"1";"USB Micro";"1050170001";"MOLEX_1050170001";"J4";"Conn.; Data; USB; Recept.; Micro; B Type; Bottom Mount, SMT, with Solder Tabs, Lead-Free Check prices";"Good";" USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle";" Through Hole ";"";"WM1399CT-ND";"Molex";"1050170001";"";"";"";"None";"";"None";"";"https://pricing.snapeda.com/search/part/1050170001/?ref=eda";"";"";"";"";
"1";"Yellow";"LED0603";"LED-0603";"D1";"LEDs";"";"";"";"160-1184-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
